809e667,b00145951,2025-02-27,added events into the next of kin calendar
83f8c41,b00145951,2025-02-27,edited next of kin signed out page to look like the general layout and colour coding going on with smartcare
d88970b,b00145951,2025-02-27,added events calendar
8a15ae2,b00145951,2025-02-27,added calendar to appointments
cf48266,b00145951,2025-02-27,fixed conflict between forgot password page and register page for nextofkin
2164c1e,b00145951,2025-02-27, fixed the forgot password conflict
1020f05,b00145951,2025-02-27,added settings to the next of kin dashboard
daaf346,b00145951,2025-02-27,adding resident sidebar on nextofkin
512ad04,b00145951,2025-02-26,create next of kin news sidebar
c563664,b00145951,2025-02-26,added diving lines between the columns in home - next of kin
1873798,b00145951,2025-02-26,next of kin dashboard home is divided into columns, sidebars still correctly work and change between
728bb81,b00145951,2025-02-26,next of kin sidebar works
1e73d33,b00145951,2025-02-26,edited register page to look like other next of kin pages
42e2173,b00145951,2025-02-23, updated title page to next of kin home
697c07b,b00145951,2025-02-23,changed the title page to just home on the dashboard home
be743e6,b00145951,2025-02-23,added sections into the next of kin dashboard home
fd5fdf1,b00145951,2025-02-23,logout button has been readded to the nextofkin dashboard that redirects to the succesfully signed out page
36cdd8d,b00145951,2025-02-23,sidebar for nextofkin dashboard has been created
802184b,b00145951,2025-02-23,edited nextofkin login controller to redirect to signedout when logging out
a322583,b00145951,2025-02-23,added post method for logging out next of kin out
673ce3f,b00145951,2025-02-23,route for signed out next of kin users created
f6d42f4,b00145951,2025-02-23,created a sign out page for nextofkin
7d4ff72,b00145951,2025-02-20, added registration link on the next of kin login page
0183e2c,b00145951,2025-02-20,linked dashboard to when next of kin succesfully signs in
715c48d,b00145951,2025-02-20,edited next of kin registration to look nicer and similar to login
87a0669,b00145951,2025-02-20,Edited login page to look more nicer and cleaner
deeadaf,b00145951,2025-02-18,password reset
3542f86,b00145951,2025-02-18,registration form
3d5584a,b00145951,2025-02-16,next-of-kin login dashboard created and security
9c1cf88,b00145951,2025-02-16,created nextofkin login
e0fd7bd,b00145951,2025-02-14,web.php fixed
9692038,Komal,2025-02-14,Added staff login and restricted emergency alerts to logged-in users
43502e5,Komal,2025-02-13,Log button added to emergencyalert
69135f8,b00145951,2025-02-13,created a dietary form
7c5bc9a,b00145951,2025-02-13,Resolved merge conflict in web.php
4d991c1,b00145951,2025-02-13,Resolved merge conflict in web.php
4c5da2b,B00141403 Serena Emedeke,2025-02-13,Saving my changes before pulling
efdb38d,Komal,2025-02-13,Main page created - SmartCare Laravel Project
16cc8ad,b00145951,2025-02-12,tables are scaffolded
4b65716,B00141403 Serena Emedeke,2025-02-12,scaffolded the role table
801c975,b00145951,2025-02-11,inital commit
